id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,,,,,,,,,,,,,,,,,,,,,,,
319715,GMQ,medium_airport,Golog Maqên Airport,34.418066,100.301144,12426,AS,China,CN,Qinghai Province,CN-63,63,Golog (Maqên),1,ZLGL,GMQ,,,,,,,,,,,,,,,,,,,,,,,
31609,ZWHM,medium_airport,Hami Airport,42.8414,93.669197,2703,AS,China,CN,Xinjiang Autonomous Region,CN-65,65,Hami,1,ZWHM,HMI,,,,,,,,,,,,,,,,,,,,,,,
300860,ZBHD,medium_airport,Handan Airport,36.525833,114.425556,229,AS,China,CN,Hebei Province,CN-13,13,Handan,1,ZBHD,HDG,,,,,,,,,,,,,,,,,,,,,,,
301009,JGD,medium_airport,Jiagedaqi Airport,50.371389,124.1175,1205,AS,China,CN,Heilongjiang Province,CN-23,23,Jiagedaqi,1,ZYJD,JGD,,,,,,,,,,,,,,,,,,,,,,,
44116,CN-0040,medium_airport,Lincang Boshang Airport,23.7381,100.025002,6230,AS,China,CN,Yunnan Province,CN-53,53,Lincang,1,ZPLC,LNJ,,,,,,,,,,,,,,,,,,,,,,,
31874,ZGZH,medium_airport,Liuzhou Bailian Airport / Bailian Air Base,24.2075,109.390999,295,AS,China,CN,Guangxi Autonomous Region,CN-45,45,Liuzhou (Liujiang),1,ZGZH,LZH,,,,,,,,,,,,,,,,,,,,,,,
327444,ZBLL,medium_airport,Lüliang Dawu Airport,37.683333,111.142778,,AS,China,CN,Shaanxi Province,CN-61,61,Lüliang,1,ZBLL,LLV,,,,,,,,,,,,,,,,,,,,,,,
301193,ZYMH,medium_airport,Mohe Gulian Airport,52.916871,122.422759,1836,AS,China,CN,Heilongjiang Province,CN-23,23,Mohe,1,ZYMH,OHE,,,,,,,,,,,,,,,,,,,,,,,
300513,ZBDS,medium_airport,Ordos Ejin Horo Airport,39.49,109.8613889,4557,AS,China,CN,Inner Mongolia Autonomous Region,CN-15,15,Ordos,1,ZBDS,DSN,,,,,,,,,,,,,,,,,,,,,,,
44126,CN-0050,medium_airport,Panzhihua Bao'anying Airport,26.54,101.79852,1620,AS,China,CN,Sichuan Province,CN-51,51,Panzhihua (Renhe),1,ZUZH,PZI,,,,,,,46,AS,China,CN,Hebei Province,CN-13,13,Qinhuangdao,1,ZBDH,BPE,,,https://en.wikipedia.org/wiki/Qinhuangdao_Beidaihe_Airport,,500,2016-05-30T09:36:23+00:00
323218,ZSRZ,medium_airport,Rizhao Shanzihe Airport,35.405033,119.324403,121,AS,China,CN,Shandong Province,CN-37,37,Rizhao,1,ZSRZ,RIZ,,,,,,,,,,,,,,,,,,,,,,,
300545,ZUAL,medium_airport,Ngari Gunsa Airport,32.1,80.053056,14022,AS,China,CN,Tibet Autonomous Region,CN-54,54,Shiquanhe,1,ZUAL,NGQ,,,,,,,,,,,,,,,,,,,,,,,
318173,ZHSY,medium_airport,Shiyan Wudangshan Airport,32.592889,110.906296,,AS,China,CN,Hubei Province,CN-42,42,Shiyan (Maojian),1,ZHSY,WDS,,,,,,,,,,,,,,,,,,,,,,,
32646,ZSWF,medium_airport,Weifang Nanyuan Airport,36.646702,119.119003,,AS,China,CN,Shandong Province,CN-37,37,Weifang,1,ZSWF,WEF,,,,,,,,,,,,,,,,,,,,,,,
32713,ZSXZ,medium_airport,Xuzhou Guanyin International Airport,34.059056,117.555278,,AS,China,CN,Jiangsu Province,CN-32,32,Xuzhou,1,ZSXZ,XUZ,,,,,,,,,,,,,,,,,,,,,,,
315853,ZSYC,medium_airport,Yichun Mingyueshan Airport,27.8025,114.3062,430,AS,China,CN,Jiangxi Province,CN-36,36,Yichun,1,ZSYC,YIC,,,,,,,,,,,,,,,,,,,,,,,
298989,ZLIC,medium_airport,Yinchuan Hedong International Airport,38.322758,106.393214,,AS,China,CN,Ningxia Autonomous Region,CN-64,64,Yinchuan,1,ZLIC,INC,,,,,,,,,,,,,,,,,,,,,,,
308240,ZSFY,medium_airport,Fuyang Xiguan Airport,32.882157,115.734364,104,AS,China,CN,Anhui Province,CN-34,34,"Yingzhou, Fuyang",1,ZSFY,FUG,,,,,,,,,,,,,,,,,,,,,,,
32726,ZSYW,medium_airport,Yiwu Airport,29.34469986,120.0319977,262,AS,China,CN,Zhejiang Province,CN-33,33,Yiwu,1,ZSYW,YIW,,,,,,,,,,,,,,,,,,,,,,,
300516,ZYLS,medium_airport,Yushu Batang Airport,32.836389,97.036389,12816,AS,China,CN,Qinghai Province,CN-63,63,Yushu (Batang),1,ZYLS,YUS,,,,,,,,,,,,,,,,,,,,,,,
308403,ZUZY,medium_airport,Zunyi Xinzhou Airport,27.5895,107.0007,2920,AS,China,CN,Guizhou Province,CN-52,52,Zunyi,1,ZUZY,ZYI,,,,,,,,,,,,,,,,,,,,,,,
44237,CN-0159,closed,Longyou Air Base,29.1131,119.177002,,AS,China,CN,Zhejiang Province,CN-33,33,,0,,,,,,,,,,,,,,,,,,,,,,,,,
44230,CN-0152,medium_airport,Huian Air Base,25.02610016,118.8069992,,AS,China,CN,Fujian Province,CN-35,35,,0,,,,,,,,,,,,,,,,,,,,,,,,,
